Address,City,State,Zip,Price,Bedrooms,Bathrooms,Waterfront_Status,Property_Type,Listing_Status,
18 Fire Ln #4,Moravia,NY,13118,1397000,3,2,Waterfront,Single-Family,Active,
399 Fire Ln SUITE 34,Moravia,NY,13118,499000,2,1,Waterfront,Single-Family,Active,
483 Indian Cv,Moravia,NY,13118,825000,3,2,Waterfront,Single-Family,Active,
2846 Fire Ln #1,Moravia,NY,13118,699999,0,2,Waterfront,Single-Family,Active,
1988 State Route 38a,Moravia,NY,13118,262000,5,2,Non-Waterfront,Single-Family,Active,
784 Tollgate Hill Rd,Locke,NY,13092,274900,3,1,Non-Waterfront,Single-Family,Active,
1817 Honoco Rd,Aurora,NY,13026,759000,3,2,Waterfront,Single-Family,Active,
1653 Honoco Rd,Aurora,NY,13026,1599900,4,4,Waterfront,Single-Family,Active,
1353 Honoco Rd,Aurora,NY,13026,1150000,3,3,Waterfront,Single-Family,Active,
1183 Honoco Rd,Aurora,NY,13026,549000,2,1,Waterfront,Single-Family,Active,
1659 Honoco Rd,Aurora,NY,13026,944900,3,2,Waterfront,Single-Family,Active,
237 Main St,Aurora,NY,13026,675000,3,2,Waterfront,Single-Family,Active,
245 Main St,Aurora,NY,13026,625000,5,5,Waterfront,Multi-Family,Active,
120 Ridings Dr,Homer,NY,13077,930000,2,1,Waterfront,Single-Family,Active,
126 Ridings Dr,Homer,NY,13077,1200000,3,2,Waterfront,Single-Family,Active,
1077 - 1079 Taughannock Boulevard,Ithaca Town,NY,N/A,2200000,8,7,Waterfront,Single-Family,Active Under Contract,
1121 Taughannock Boulevard,Ulysses,NY,N/A,1799000,4,3,Waterfront,Single-Family,Active Under Contract,
5493 State Route 89,Varick,NY,N/A,1699900,4,3,Waterfront,Single-Family,Active,
3092 Route 89,Fayette,NY,N/A,1289000,4,3,Waterfront,Single-Family,Pending,
955 Fire Lane 6,Genoa,NY,N/A,1178800,4,3,Waterfront,Single-Family,Active,
8123 Bainbridge Beach Road,Covert,NY,N/A,997500,3,2,Waterfront,Single-Family,Active,
7059 Wyers Point Beach Road,Ovid,NY,N/A,989000,6,3,Waterfront,Single-Family,Active,
7374 Wyers Point Road,Ovid,NY,14521,799900,4,2,Waterfront,Single-Family,Active,
641 Fire Lane 5,King Ferry,NY,13081,1300000,3,2,Waterfront,Single-Family,Active,
7658 County Road 153,Interlaken,NY,14847,1348000,5,3,Waterfront,Single-Family,Active,
1505 Gray Rd,Ledyard,NY,13160,399900,5,2,Non-Waterfront,Single-Family,Active,
1 Curtis St,Mentz,NY,13140,79500,2,1,Non-Waterfront,Single-Family,Active,
8089 State Route 90,Montezuma,NY,13117,99900,3,2,Non-Waterfront,Single-Family,Active,
6794 Fosterville Rd,Aurelius,NY,13021,599000,4,1,Non-Waterfront,Single-Family,Active,
269 E Lake Rd,Conquest,NY,13140,79000,1,1,Waterfront,Single-Family,Active,
245 Fire Lane 17,Cato,NY,13033,169900,1,1,Waterfront,Single-Family,Active,
4500 W Lake Rd,Skaneateles,NY,13152,3999000,5,6,Waterfront,Single-Family,Active,
1077 - 1079 Taughannock Boulevard,Ithaca,NY,N/A,2200000,8,7,Waterfront,Single-Family,Active Under Contract,
4525 Rt-89,Varick,NY,N/A,2195000,4,4,Waterfront,Single-Family,Pending,
9341 Kingtown Beach Road,Covert,NY,N/A,1250000,3,2,Waterfront,Single-Family,Pending,
581 Lansing Station Road,Lansing,NY,N/A,1200000,4,3,Waterfront,Single-Family,Pending,
1719 Honoco Road,Ledyard,NY,N/A,995000,3,2,Waterfront,Single-Family,Pending,
2151 Pumphouse Road,N/A,NY,N/A,N/A,3,3,Waterfront,Single-Family,Active,
6800 Rte 89,Ovid,NY,N/A,1195000,N/A,N/A,Waterfront,Commercial,Active,
4489 State Route 89,N/A,NY,N/A,875000,3,3,Waterfront,Single-Family,Pending,
419 Cayuga Heights Road,Ithaca,NY,14850,798500,4,3,Non-Waterfront,Single-Family,Active,
0 Hillcrest Dr #2,Ithaca,NY,14850,540000,N/A,N/A,Non-Waterfront,Land,Active,
0 Blackchin Blvd #37,Ithaca,NY,14850,292000,N/A,N/A,Non-Waterfront,Land,Active,
0 Mecklenburg Rd,Ithaca,NY,14850,2250000,N/A,N/A,Non-Waterfront,Land,Active,
Cayuga Vista Dr,Lansing,NY,14882,350000,N/A,N/A,Non-Waterfront,Land,Active,
Court St,Cayuga,NY,13034,39000,N/A,N/A,Non-Waterfront,Land,Active,
3625 State Route 90 Lot 4 & 4a&b,Ledyard,NY,13026,1000000,N/A,N/A,Waterfront,Land,Active,
110 Main Street,Ledyard,NY,N/A,999900,N/A,N/A,Waterfront,Land,Active,
27 & 29 Chestnut St #47,Seneca Falls,NY,13148,20000,N/A,N/A,Non-Waterfront,Land,Active,
5234 Oak Harbor Road,N/A,NY,N/A,325000,N/A,N/A,Waterfront,Land,Active,
5217 Oak Harbor Road,N/A,NY,N/A,290000,N/A,N/A,Waterfront,Land,Active,
4040 County Road 141 Road,N/A,NY,N/A,199000,N/A,N/A,Non-Waterfront,Land,Active,
152 Campbell Avenue,N/A,NY,N/A,99000,N/A,N/A,Non-Waterfront,Land,Active,
